# Template extendido con power-law (f_lambda = A * (lam/lam0)^(-alpha) + C)
# A = 8.034762e-15, alpha = 1.683010, C = 6.020234e-15, lam0 = 7183.2 Angstrom
# columns: lambda_Angstrom, f_lambda

1282.460000,1.377240e-13
1283.020000,1.371360e-13
1283.590000,1.366040e-13
1284.150000,1.364130e-13
1284.720000,1.364390e-13
1285.280000,1.361670e-13
1285.850000,1.359770e-13
1286.410000,1.356070e-13
1286.980000,1.349590e-13
1287.540000,1.344270e-13
1288.110000,1.344790e-13
1288.670000,1.346720e-13
1289.240000,1.350450e-13
1289.800000,1.354570e-13
1290.370000,1.355760e-13
1290.930000,1.357140e-13
1291.500000,1.358090e-13
1292.060000,1.360340e-13
1292.630000,1.365570e-13
1293.190000,1.372180e-13
1293.760000,1.376090e-13
1294.320000,1.379090e-13
1294.890000,1.379860e-13
1295.450000,1.378760e-13
1296.020000,1.376960e-13
1296.580000,1.376930e-13
1297.150000,1.376870e-13
1297.710000,1.377270e-13
1298.280000,1.381700e-13
1298.840000,1.388000e-13
1299.410000,1.391850e-13
1299.970000,1.396180e-13
1300.540000,1.403200e-13
1301.100000,1.407570e-13
1301.670000,1.412090e-13
1302.230000,1.419630e-13
1302.800000,1.427980e-13
1303.360000,1.432070e-13
1303.930000,1.437600e-13
1304.490000,1.443400e-13
1305.060000,1.448970e-13
1305.620000,1.454490e-13
1306.190000,1.461650e-13
1306.750000,1.463430e-13
1307.310000,1.460260e-13
1307.880000,1.453050e-13
1308.440000,1.442930e-13
1309.010000,1.431650e-13
1309.570000,1.423270e-13
1310.140000,1.416700e-13
1310.700000,1.412310e-13
1311.270000,1.407930e-13
1311.830000,1.402920e-13
1312.400000,1.396330e-13
1312.960000,1.389030e-13
1313.530000,1.380780e-13
1314.090000,1.373080e-13
1314.660000,1.365130e-13
1315.220000,1.355510e-13
1315.790000,1.348710e-13
1316.350000,1.342010e-13
1316.920000,1.335480e-13
1317.480000,1.326710e-13
1318.050000,1.316240e-13
1318.610000,1.303470e-13
1319.180000,1.290950e-13
1319.740000,1.278820e-13
1320.310000,1.270990e-13
1320.870000,1.266730e-13
1321.440000,1.260930e-13
1322.000000,1.254200e-13
1322.570000,1.249710e-13
1323.130000,1.246460e-13
1323.700000,1.243010e-13
1324.260000,1.242580e-13
1324.830000,1.244120e-13
1325.390000,1.245820e-13
1325.960000,1.247300e-13
1326.520000,1.247650e-13
1327.090000,1.246130e-13
1327.650000,1.245830e-13
1328.220000,1.244610e-13
1328.780000,1.242120e-13
1329.350000,1.241460e-13
1329.910000,1.245200e-13
1330.480000,1.248690e-13
1331.040000,1.251570e-13
1331.610000,1.254930e-13
1332.170000,1.259130e-13
1332.740000,1.262180e-13
1333.300000,1.266630e-13
1333.870000,1.271360e-13
1334.430000,1.276570e-13
1335.000000,1.282960e-13
1335.560000,1.289140e-13
1336.130000,1.292210e-13
1336.690000,1.294550e-13
1337.260000,1.296090e-13
1337.820000,1.295570e-13
1338.390000,1.292670e-13
1338.950000,1.289550e-13
1339.520000,1.287110e-13
1340.080000,1.284240e-13
1340.650000,1.280460e-13
1341.210000,1.276910e-13
1341.780000,1.272330e-13
1342.340000,1.265550e-13
1342.910000,1.257290e-13
1343.470000,1.249790e-13
1344.040000,1.244660e-13
1344.600000,1.241630e-13
1345.170000,1.238760e-13
1345.730000,1.236160e-13
1346.300000,1.233990e-13
1346.860000,1.231090e-13
1347.430000,1.226140e-13
1347.990000,1.221930e-13
1348.560000,1.219190e-13
1349.120000,1.216240e-13
1349.690000,1.212450e-13
1350.250000,1.209360e-13
1350.820000,1.204290e-13
1351.380000,1.201160e-13
1351.950000,1.199980e-13
1352.510000,1.199530e-13
1353.080000,1.200230e-13
1353.640000,1.202810e-13
1354.210000,1.203910e-13
1354.770000,1.204640e-13
1355.340000,1.208710e-13
1355.900000,1.212660e-13
1356.470000,1.213920e-13
1357.030000,1.215230e-13
1357.600000,1.214730e-13
1358.160000,1.210130e-13
1358.730000,1.206240e-13
1359.290000,1.207280e-13
1359.860000,1.208270e-13
1360.420000,1.208330e-13
1360.990000,1.208870e-13
1361.550000,1.208050e-13
1362.120000,1.202600e-13
1362.680000,1.198030e-13
1363.250000,1.195910e-13
1363.810000,1.193840e-13
1364.380000,1.194370e-13
1364.940000,1.201610e-13
1365.510000,1.208260e-13
1366.070000,1.213100e-13
1366.640000,1.217530e-13
1367.200000,1.220230e-13
1367.770000,1.218860e-13
1368.330000,1.217500e-13
1368.900000,1.217120e-13
1369.460000,1.216850e-13
1370.030000,1.214170e-13
1370.590000,1.212890e-13
1371.160000,1.213740e-13
1371.720000,1.214480e-13
1372.290000,1.214630e-13
1372.850000,1.217890e-13
1373.420000,1.219560e-13
1373.980000,1.218960e-13
1374.550000,1.218090e-13
1375.110000,1.218370e-13
1375.680000,1.219570e-13
1376.240000,1.220520e-13
1376.800000,1.219700e-13
